title,Score,Metascore,Year,Vote,Runtime,Revenue,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,FilmNoir,History,Horror,Music,Musical,Mystery,Romance,Sci.Fi,Sport,Thriller,War,Western
The Great Dictator,8.5,83.90977478027344,1940,172055,125,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sunset Blvd.,8.4,86.96887969970703,1950,171403,110,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Man from Earth,7.9,72.15715026855469,2007,155685,87,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Paths of Glory,8.4,89.93456268310547,1957,148855,88,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mary and Max,8.1,70.22181701660156,2009,145867,92,NA,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City Lights,8.5,90.80381774902344,1931,138919,87,0.02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Seventh Seal,8.2,87.60612487792969,1957,137290,96,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Apartment,8.3,90.19435119628906,1960,136546,125,18.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dial M for Murder,8.2,82.3478775024414,1954,134800,105,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
One Hundred and One Dalmatians,7.2,79.03150177001953,1961,131935,79,144.88,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akira,8.1,82.81675720214844,1988,131893,124,0.55,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taare Zameen Par,8.4,72.32892608642578,2007,131233,165,1.22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PK,8.2,78.59268951416016,2014,129286,153,10.62,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rashomon,8.3,94.299957275390625,1950,127896,88,0.1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
La Haine,8.1,81.76665496826172,1995,127471,98,0.31,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Lyndon,8.1,78.15962982177734,1975,126735,185,NA,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cinderella,7.3,84.9643325805664,1950,125743,74,85,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
M - Eine Stadt sucht einen Mörder,8.4,90.89994812011719,1931,121903,117,0.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Hunchback of Notre Dame,6.9,63.73768615722656,1996,121878,91,100.14,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicycle Thieves,8.3,93.939056396484375,1948,120181,89,0.33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,7.4,86.54378509521484,1951,111751,75,NA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glory,7.9,79.22712707519531,1989,111097,122,26.83,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dangal,8.5,76.53853607177734,2016,107533,161,12.39,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rebecca,8.1,93.00328063964844,1940,106947,130,4.36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Peter Pan,7.3,86.16249084472656,1953,106852,77,87.4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lady and the Tramp,7.3,86.36412811279297,1955,103444,76,93.6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Meaning of Life,7.6,68.66437530517578,1983,100491,107,14.93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Judge Dredd,5.5,35.85463333129883,1995,100022,96,34.69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dag II,9.4,67.18563079833984,2016,98484,135,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rang De Basanti,8.2,78.58567810058594,2006,96460,157,2.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8½,8.1,89.57010650634766,1963,96418,138,0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meet the Spartans,2.7,20.314865112304687,2008,95728,84,38.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Die Welle,7.6,60.94035720825195,2008,92661,107,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stalker,8.1,80.89210510253906,1979,92583,162,0.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yojimbo,8.3,83.17713928222656,1961,92535,110,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Name of the Rose,7.8,74.811553955078125,1986,91874,130,7.15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Exam,6.9,50.17070388793945,2009,91043,101,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Kid,8.3,96.8535385131836,1921,90886,68,5.45,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Alone 3,4.4,26.80946159362793,1997,89998,102,30.88,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahubali: The Beginning,8.2,75.95585632324219,2015,89173,159,6.74,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The 400 Blows,8.1,89.16666412353516,1959,88597,99,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Four Rooms,6.7,54.9718017578125,1995,87951,98,4.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Witness for the Prosecution,8.4,91.12035369873047,1957,86187,116,8.18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Iron Sky,5.9,41.370052337646484,2012,85592,93,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Gold Rush,8.2,95.32547760009766,1925,85441,95,5.45,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triangle,6.9,50.08549118041992,2009,85439,99,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
DragonHeart,6.4,48.69068908691406,1996,84810,103,51.37,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Small Soldiers,6.1,45.33833694458008,1998,84345,108,54.68,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notorious,8,91.63887786865234,1946,82862,102,10.46,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Persona,8.1,88.7206802368164,1966,82336,85,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gremlins 2: The New Batch,6.3,51.4008674621582,1990,80788,106,41.48,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Wild Strawberries,8.2,85.17498779296875,1957,80104,91,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fantasia,7.8,84.66182708740234,1940,79881,125,76.41,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lolita,7.6,78.50579071044922,1962,79871,153,9.25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jingle All the Way,5.5,38.109832763671875,1996,79738,89,60.57,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Unthinkable,7.1,58.909942626953125,2010,79030,97,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Magnificent Seven,7.8,78.08911895751953,1960,78509,128,4.91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nosferatu,8,92.3860092163086,1922,78393,94,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
My Fair Lady,7.9,75.30005645751953,1964,77193,170,72,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Hocus Pocus,6.8,55.70206832885742,1993,77166,96,39.51,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ali G Indahouse,6.2,46.054813385009766,2002,76773,85,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Colours: Red,8.1,81.2519760131836,1994,76516,99,4.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hot Shots! Part Deux,6.6,48.48329162597656,1993,76108,86,38.91,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blitz,6.2,41.90321350097656,2011,75511,97,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Frighteners,7.1,60.39339828491211,1996,74971,110,16.76,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Trick 'r Treat,6.8,60.439491271972656,2007,72343,82,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
The Big Sleep,8,82.620758056640625,1946,71847,114,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Swades: We, the People",8.3,79.02669525146484,2004,71810,210,1.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reis,1.8,30.37183952331543,2017,71700,108,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martyrs,7.1,59.17707443237305,2008,71623,99,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Battlefield Earth,2.4,25.05947494506836,2000,71272,118,21.47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Killing,8,90.85768127441406,1956,71141,84,NA,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Searchers,8,90.139373779296875,1956,70985,119,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Assassins,6.3,44.352569580078125,1995,70772,132,30.31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Day the Earth Stood Still,7.8,82.52410888671875,1951,70735,92,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Paris, Texas",8.1,81.421875,1984,70110,145,2.18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wild Bunch,8,82.41900634765625,1969,70073,135,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Taxi,7,58.89816665649414,1998,69657,86,0.27,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hustler,8,77.6756591796875,1961,69120,134,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Sandlot Kids,7.8,74.18607330322266,1993,68572,101,32.42,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The General,8.2,90.37809753417969,1926,68464,67,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pink Floyd: The Wall,8,79.632110595703125,1982,68232,95,22.24,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Contratiempo,8.1,64.40117645263672,2016,68036,106,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Room,3.6,25.961830139160156,2003,67311,99,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inkheart,6.1,43.75926208496094,2008,67305,106,17.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fallen,7,57.72575378417969,1998,66598,124,25.19,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barfi!,8.1,78.72926330566406,2012,66302,151,2.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Craft,6.3,51.35298538208008,1996,66172,101,24.88,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A Wednesday,8.2,68.02417755126953,2008,65679,104,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Who's Afraid of Virginia Woolf?,8,84.05086517333984,1966,62496,131,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of Africa,7.2,68.6910400390625,1985,62189,161,87.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Edge,6.9,56.634151458740234,1997,62079,117,27.78,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathless,7.9,93.434906005859375,1960,62043,90,0.34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Knight,5.9,43.54377365112305,1995,61919,134,37.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Babam ve Oglum,8.4,67.4609146118164,2005,61526,108,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Munna Bhai M.B.B.S.,8.2,63.78855895996094,2003,61505,156,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Johnny Mnemonic,5.6,36.736236572265625,1995,60961,96,19.08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strange Days,7.2,67.4984359741211,1995,60928,145,7.92,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baahubali 2: The Conclusion,8.3,72.748687744140625,2017,60785,167,20.19,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bajrangi Bhaijaan,8,76.5882568359375,2015,60183,163,8.18,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenic and Old Lace,8,85.06598663330078,1944,60161,118,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Daylight,5.9,43.66078186035156,1996,59590,114,33.02,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior,4.6,32.73955154418945,1994,59392,109,36.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Street Fighter,3.8,23.32175064086914,1994,58951,102,33.42,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dil Chahta Hai,8.2,73.79659271240234,2001,58897,183,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Open Your Eyes,7.8,73.75872802734375,1997,58449,117,0.37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chernobyl Diaries,5,32.16487121582031,2012,58435,86,18.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Celda 211,7.7,61.166587829589844,2009,57929,113,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beethoven,5.6,44.05168151855469,1992,57804,87,57.11,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charade,8,80.54719543457031,1963,57719,113,13.47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Candyman,6.6,50.99839401245117,1992,57029,99,25.79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Cube 2: Hypercube,5.6,41.96519470214844,2002,56941,94,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Ring,7.3,66.07701873779297,1998,56933,96,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Dorian Gray,6.3,46.71531677246094,2009,56739,112,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Frankenstein,7.9,98.04764556884766,1931,56731,70,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Specialist,5.5,39.738075256347656,1994,56633,110,57.36,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zindagi Na Milegi Dobara,8.1,78.616241455078125,2011,55946,155,3.08,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunday,2.1,26.721452713012695,2014,55914,152,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ikiru,8.3,93.37064361572266,1952,55712,143,0.06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dilwale Dulhania Le Jayenge,8.2,64.2484130859375,1995,55609,189,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Ten Commandments,7.9,89.08707427978516,1956,55536,220,93.74,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heavenly Creatures,7.4,72.25044250488281,1994,54951,99,3.05,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James and the Giant Peach,6.7,55.13676452636719,1996,54825,79,28.93,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Diaboliques,8.1,93.66570281982422,1955,54408,117,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
To Catch a Thief,7.5,78.77857971191406,1955,54135,106,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Fetih 1453,7.1,63.909183502197266,2012,54064,162,0.07,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ajeossi,7.8,61.42314910888672,2010,52925,119,0.01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Queen,8.3,79.52850341796875,2013,52825,146,1.43,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fainaru fantajî sebun adobento chirudoren,7.3,64.39320373535156,2005,52647,101,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatomy of a Murder,8.1,91.39029693603516,1959,52500,160,11.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eskiya,8.3,72.50652313232422,1996,52466,128,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dick Tracy,6.1,46.36935806274414,1990,52397,105,103.74,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhaag Milkha Bhaag,8.2,67.121307373046875,2013,52302,186,1.63,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
All Quiet on the Western Front,8.1,89.87854766845703,1930,52219,136,3.27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
La Strada,8.1,88.50959014892578,1954,51811,108,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fright Night,7.1,57.598995208740234,1985,51375,106,24.92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
The Ghost and the Darkness,6.8,58.64999008178711,1996,51235,110,38.62,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Duck Soup,8,81.3027572631836,1933,51170,68,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Straw Dogs,7.5,78.80882263183594,1971,50778,113,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Mission,7.5,72.536651611328125,1986,50366,125,17.22,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Enes Batur Hayal mi Gerçek mi?,6,46.242488861083984,2018,50364,110,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanny and Alexander,8.1,74.9446792602539,1982,50346,188,4.97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOL,4.4,34.48036575317383,2012,50264,97,0.05,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Drishyam,8.3,80.2842025756836,2015,50166,163,0.74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dog Soldiers,6.8,57.22359085083008,2002,49816,105,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bringing Up Baby,8,80.65552520751953,1938,49782,102,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dennis the Menace,5.5,40.46997833251953,1993,49770,94,51.27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Underground,8.1,69.30207061767578,1995,49733,170,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kahaani,8.2,74.17173767089844,2012,49701,122,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Cry-Baby,6.5,55.31952667236328,1990,49312,85,8.27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rio Bravo,8,86.35401916503906,1959,49307,141,12.54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toki o kakeru shôjo,7.8,65.73505401611328,2006,49226,98,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Srpski film,5.1,36.81978225708008,2010,49108,104,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Ghajini,7.3,65.609619140625,2008,49063,183,2.43,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Last Man Standing,6.4,49.96088790893555,1996,49008,101,17.6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blow-Up,7.6,78.64518737792969,1966,48948,111,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Harvey,8,82.6752700805664,1950,48844,104,NA,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rudy,7.5,68.57289123535156,1993,48697,114,22.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sneakers,7.1,65.6564712524414,1992,48161,126,51.43,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf,6.2,54.625118255615234,1994,47996,125,65.01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Das Cabinet des Dr. Caligari,8.1,96.0726318359375,1920,47836,76,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Chaos,6.5,44.94841384887695,2005,47823,106,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soldier,6,43.50921630859375,1998,47818,99,14.57,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Longest Day,7.8,77.9501724243164,1962,47779,178,39.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Re-Animator,7.2,66.39369201660156,1985,47745,105,2.02,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bacheha-Ye aseman,8.3,80.63304138183594,1997,47598,89,0.93,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jab Tak Hai Jaan,6.8,55.93217468261719,2012,47331,176,3.05,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Stalag 17,8,82.88422393798828,1953,47063,120,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
G.O.R.A.,8,68.044891357421875,2004,47003,127,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
His Girl Friday,8,91.49893951416016,1940,46990,92,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Experiment,6.5,48.28689956665039,2010,46941,96,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
